inventoryId,originKind,currentId,sourceFile,sourcePath,course,topic,topicIndex,block,community,provenance,statement,answer,solution,difficulty,modalities,reviewIndicators,mathFormat,options,correctIndex,accessible,accessibleVia,issues
"fase0-000001","source-record","ccss2-ind-01","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.0","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula la primitiva ∫ 3x² dx.","x³ + C","Aplicamos la regla de la potencia: ∫3x² dx = 3·x³/3 = x³ + C. Resultado final: x³ + C.","sin-determinar","","","Unicode matemático","x³ + C | 6x + C | 3x³ + C | x² + C","0","false","",""
"fase0-000002","source-record","ccss2-ind-02","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.1","2bach-ccss","Integrales indefinidas","6","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula la primitiva ∫ 5x⁴ dx.","x⁵ + C","∫5x⁴ dx = 5·x⁵/5. Resultado final: x⁵ + C.","sin-determinar","","","Unicode matemático","x⁵ + C | 20x³ + C | 5x⁵ + C | x⁴ + C","0","true","2bach-ccss/6/buildQuestions:apprentice | 2bach-ccss/6/buildQuestions:master",""
"fase0-000003","source-record","ccss2-ind-03","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.2","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula la primitiva ∫ 8x³ dx.","2x⁴ + C","∫8x³ dx = 8·x⁴/4. Resultado final: 2x⁴ + C.","sin-determinar","","","Unicode matemático","2x⁴ + C | 24x² + C | 8x⁴ + C | 4x⁴ + C","0","false","",""
"fase0-000004","source-record","ccss2-ind-04","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.3","2bach-ccss","Integrales indefinidas","6","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ 4/x³ dx.","−2/x² + C","Escribimos 4/x³ = 4x⁻³. Entonces ∫4x⁻³ dx = 4x⁻²/(−2). Resultado final: −2/x² + C.","sin-determinar","","","Unicode matemático","−2/x² + C | 4 ln|x| + C | −4/x⁴ + C | 2/x² + C","0","true","2bach-ccss/6/buildQuestions:apprentice | 2bach-ccss/6/buildQuestions:master",""
"fase0-000005","source-record","ccss2-ind-05","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.4","2bach-ccss","Integrales indefinidas","6","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ √x dx.","(2/3)x√x + C","√x=x^(1/2). Al aumentar el exponente queda 3/2 y dividimos por 3/2. Resultado final: (2/3)x√x + C.","sin-determinar","","","Unicode matemático","(2/3)x√x + C | 2√x + C | x√x + C | 1/(2√x) + C","0","true","2bach-ccss/6/buildQuestions:exam",""
"fase0-000006","source-record","ccss2-ind-06","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.5","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ 1/√x dx.","2√x + C","1/√x=x^(−1/2). Aplicamos la regla de la potencia. Resultado final: 2√x + C.","sin-determinar","","","Unicode matemático","2√x + C | −2/√x + C | ln|x| + C | √x/2 + C","0","false","",""
"fase0-000007","source-record","ccss2-ind-07","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.6","2bach-ccss","Integrales indefinidas","6","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ (6x² − 4x + 3) dx.","2x³ − 2x² + 3x + C","Integramos término a término: ∫6x²dx=2x³, ∫−4xdx=−2x² y ∫3dx=3x. Resultado final: 2x³−2x²+3x+C.","sin-determinar","","","Unicode matemático","2x³ − 2x² + 3x + C | 6x³ − 4x² + 3x + C | 12x − 4 + C | 2x³ − 4x² + 3 + C","0","true","2bach-ccss/6/buildQuestions:exam",""
"fase0-000008","source-record","ccss2-ind-08","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.7","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ (4x³ + 2x − 5) dx.","x⁴ + x² − 5x + C","Integramos cada sumando. Resultado final: x⁴+x²−5x+C.","sin-determinar","","","Unicode matemático","x⁴ + x² − 5x + C | 12x² + 2 + C | 4x⁴ + 2x² − 5x + C | x⁴ + 2x² − 5 + C","0","false","",""
"fase0-000009","source-record","ccss2-ind-09","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.8","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Halla una primitiva de f(x)=9x²−8x+1.","F(x)=3x³−4x²+x+C","Integramos término a término y añadimos la constante. Resultado final: F(x)=3x³−4x²+x+C.","sin-determinar","","","Unicode matemático","F(x)=3x³−4x²+x+C | F(x)=18x−8 | F(x)=9x³−8x²+x+C | F(x)=3x³−8x²+1+C","0","false","",""
"fase0-000010","source-record","ccss2-ind-10","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.9","2bach-ccss","Integrales indefinidas","6","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ 4eˣ dx.","4eˣ + C","La primitiva de eˣ es eˣ; el factor 4 se conserva. Resultado final: 4eˣ+C.","sin-determinar","","","Unicode matemático","4eˣ + C | e⁴ˣ + C | 4xeˣ + C | eˣ/4 + C","0","true","2bach-ccss/6/buildQuestions:apprentice | 2bach-ccss/6/buildQuestions:master",""
